order_date,region,country,product,category,quantity,revenue,cost
2024-01-15,North,USA,Widget A,Electronics,120,4800.50,3200.00
2024-01-22,North,USA,Widget B,Electronics,85,3400.00,2100.00
2024-02-03,Europe,DEU,Gadget X,Home,200,6200.75,4100.00
2024-02-18,Europe,FRA,Gadget Y,Home,150,4500.00,3000.00
2024-03-01,Asia,JPN,Widget A,Electronics,95,3800.25,2500.00
2024-03-12,Asia,CHN,Widget C,Electronics,300,9000.00,6000.00
2024-03-25,North,CAN,Service Plan,Services,50,2500.00,800.00
2024-04-05,Europe,GBR,Gadget X,Home,175,5250.50,3500.00
2024-04-20,South,BRA,Widget B,Electronics,60,2400.00,1600.00
2024-05-08,North,USA,Widget C,Electronics,110,4400.00,2900.00
2024-05-22,Asia,IND,Gadget Y,Home,220,6600.00,4400.00
2024-06-01,Europe,DEU,Service Plan,Services,40,2000.00,650.00
2024-06-15,North,USA,Gadget X,Home,90,3600.00,2400.00
2024-07-02,Asia,JPN,Widget B,Electronics,75,3000.00,1950.00
2024-07-28,South,AUS,Widget A,Electronics,55,2200.00,1450.00
